Código;Nome;Símbolo;Cód. País;País;Tipo;Data Exclusão Ptax
005;AFEGANE AFEGANIST;AFN;132;AFEGANISTAO;A;
785;RANDE/AFRICA SUL;ZAR;7560;AFRICA DO SUL;A;
490;LEK ALBANIA REP;ALL;175;ALBANIA, REPUBLICA DA;A;
610;MARCO ALEMAO;DEM;230;ALEMANHA;A;02/01/2002
690;PESETA/ANDORA;ADP;370;ANDORRA;A;27/02/2004
635;KWANZA/ANGOLA;AOA;400;ANGOLA;A;
820;RIAL/ARAB SAUDITA;SAR;531;ARABIA SAUDITA;A;
095;DINAR ARGELINO;DZD;590;ARGELIA;A;
010;AUSTRAL;ARG;639;ARGENTINA;A;16/12/2009
705;PESO ARGENTINO;$(ARG);639;ARGENTINA;A;03/11/1986
706;PESO ARGENTINO;ARS;639;ARGENTINA;A;
275;DRAM ARMENIA REP;AMD;647;ARMENIA, REPUBLICA DA;A;
328;FLORIM/ARUBA;AWG;655;ARUBA;A;
150;DOLAR AUSTRALIANO;AUD;698;AUSTRALIA;B;
940;XELIM AUSTRIACO;ATS;728;AUSTRIA;A;02/01/2002
607;MANAT ARZEBAIJAO;AZN;736;AZERBAIJAO, REPUBLICA DO;A;
155;DOLAR/BAHAMAS;BSD;779;BAHAMAS, ILHAS;A;
105;DINAR/BAHREIN;BHD;809;BAHREIN, ILHAS;A;
905;TACA/BANGLADESH;BDT;817;BANGLADESH;A;
175;DOLAR/BARBADOS;BBD;833;BARBADOS;A;
829;RUBLO BELARUS;BYR;850;BELARUS, REPUBLICA DA;A;30/06/2016
831;RUBLO BELARUS;BYN;850;BELARUS, REPUBLICA DA;A;
360;FRANCO BELGA/BELG;BEF;876;BELGICA;A;02/01/2002
180;DOLAR/BELIZE;BZD;884;BELIZE;A;
160;DOLAR/BERMUDAS;BMD;906;BERMUDAS;A;
030;BOLIVIANO/BOLIVIA;BOB;973;BOLIVIA;A;
710;PESO BOLIVIANO;$B;973;BOLIVIA;A;20/09/1993
612;MARCO CONV BOSNIA;BAM;981;BOSNIA-HERZEGOVINA (REPUBLICA DA);A;
755;PULA/BOTSWANA;BWP;1015;BOTSUANA;B;
078;CRUZADO NOVO;NCZ$;1058;BRASIL;A;15/03/1990
079;CRUZADO;CZ$;1058;BRASIL;A;15/01/1989
080;CRUZEIRO;CR$;1058;BRASIL;A;27/02/1986
083;CRUZEIRO;CR$;1058;BRASIL;A;31/07/1993
085;CRUZEIRO REAL;CR$;1058;BRASIL;A;30/06/1994
790;REAL BRASIL;BRL;1058;BRASIL;A;
185;DOLAR BRUNEI;BND;1082;BRUNEI;A;
510;LEV/BULGARIA, REP;BGN;1112;BULGARIA, REPUBLICA DA;A;
365;FRANCO/BURUNDI;BIF;1155;BURUNDI;A;
665;NGULTRUM/BUTAO;BTN;1198;BUTAO;A;
295;ESCUDO CABO VERDE;CVE;1279;CABO VERDE, REPUBLICA DE;A;
825;RIEL/CAMBOJA;KHR;1414;CAMBOJA;A;
165;DOLAR CANADENSE;CAD;1490;CANADA;A;
800;RIAL/CATAR;QAR;1546;CATAR;A;
190;DOLAR CAYMAN;KYD;1376;CAYMAN, ILHAS;A;
913;TENGE CAZAQUISTAO;KZT;1538;CAZAQUISTAO, REPUBLICA DO;A;
197;UNIDADE DE FOMENTO DO CHILE;CLF;1589;CHILE;B;
715;PESO CHILE;CLP;1589;CHILE;A;
916;UNID FOMENTO CHIL;CLF;1589;CHILE;A;20/01/2014
795;RENMINBI CHINES;CNY;1600;CHINA, REPUBLICA POPULAR;A;
520;LIBRA CIP/CHIPRE;CYP;1635;CHIPRE;A;03/03/2009
195;DOLAR CINGAPURA;SGD;7412;CINGAPURA;A;
720;PESO/COLOMBIA;COP;1694;COLOMBIA;A;
721;UNIDADE DE VALOR REAL;COU;1694;COLOMBIA;B;
368;FRANCO COMORES;KMF;1732;COMORES, ILHAS;A;
363;FRANCO CONGOLES;CDF;8885;CONGO, REPUBLICA DEMOCRATICA DO;A;
970;NOVO ZAIRE ZAIRE;ZRN;8885;CONGO, REPUBLICA DEMOCRATICA DO;A;31/07/1998
971;NOVO ZAIRE;ZRN;8885;CONGO, REPUBLICA DEMOCRATICA DO;A;30/10/1998
925;WON/COREIA NORTE;KPW;1872;COREIA, REP.POP.DEMOCRATICA;A;
930;WON COREIA SUL;KRW;1902;COREIA, REPUBLICA DA;A;
995;BUA;BUA;1937;COSTA DO MARFIM;B;17/12/2009
996;FUA;FUA;1937;COSTA DO MARFIM;B;17/12/2009
040;COLON/COSTA RICA;CRC;1961;COSTA RICA;A;
100;DINAR/KWAIT;KWD;1988;COVEITE;A;
779;KUNA DA CROACIA;HRK;1953;CROACIA (REPUBLICA DA);A;31/12/2022
725;PESO/CUBA;CUP;1996;CUBA;A;
055;COROA DINAMARQUESA;DKK;2321;DINAMARCA;A;
390;FRANCO/DJIBUTI;DJF;7838;DJIBUTI;A;
535;LIBRA/EGITO;EGP;2402;EGITO;A;
045;COLON/EL SALVADOR;SVC;6874;EL SALVADOR;A;
145;DIRHAM/EMIR.ARABE;AED;2445;EMIRADOS ARABES UNIDOS;A;
895;SUCRE EQUADOR;ECS;2399;EQUADOR;A;09/09/2000
625;NAKFA DA ERITREIA;ERN;2437;ERITREIA;A;
058;COROA ESLOVACA;SKK;2470;ESLOVACA, REPUBLICA;A;03/03/2009
914;TOLAR/ESLOVENIA;SIT;2461;ESLOVENIA, REPUBLICA DA;A;03/03/2009
700;PESETA ESPANHOLA;ESP;2453;ESPANHA;A;02/01/2002
057;COROA ESTONIA;EEK;2518;ESTONIA, REPUBLICA DA;A;17/01/2011
009;BIRR/ETIOPIA;ETB;2534;ETIOPIA;A;
545;LIBRA/FALKLAND;FKP;2550;FALKLAND (ILHAS MALVINAS);B;
200;DOLAR FIJI;FJD;8702;FIJI;B;
735;PESO/FILIPINAS;PHP;2674;FILIPINAS;A;
615;MARCO FINLANDES;FIM;2712;FINLANDIA;A;02/01/2002
640;NOVO DOLAR/TAIWAN;TWD;1619;FORMOSA (TAIWAN);A;
395;FRANCO FRANCES;FRF;2755;FRANCA;A;02/01/2002
090;DALASI/GAMBIA;GMD;2852;GAMBIA;A;
35;CEDI GANA;GHS;2895;GANA;A;
482;LARI GEORGIA;GEL;2917;GEORGIA, REPUBLICA DA;A;
530;LIBRA DE GIBRALTAR;GIP;2933;GIBRALTAR;B;
270;DRACMA/GRECIA;GRD;3018;GRECIA;A;02/01/2002
770;QUETZAL/GUATEMALA;GTQ;3174;GUATEMALA;A;
170;DOLAR DA GUIANA;GYD;3379;GUIANA;A;
398;FRANCO/GUINE;GNF;3298;GUINE;A;
738;PESO GUINE BISSAU;GWP;3344;GUINE-BISSAU;A;27/11/2020
440;GOURDE HAITI;HTG;3417;HAITI;A;
495;LEMPIRA/HONDURAS;HNL;3450;HONDURAS;A;
205;DOLAR HONG KONG;HKD;3514;HONG KONG;A;
345;FORINT/HUNGRIA;HUF;3557;HUNGRIA, REPUBLICA DA;A;
810;RIAL/IEMEN;YER;3573;IEMEN;A;
860;RUPIA/INDIA;INR;3611;INDIA;A;
865;RUPIA/INDONESIA;IDR;3654;INDONESIA;A;
815;RIAL/IRAN, REP;IRR;3727;IRA, REPUBLICA ISLAMICA DO;A;
115;DINAR/IRAQUE;IQD;3697;IRAQUE;A;
550;LIBRA/IRLANDA;IEP;3751;IRLANDA;B;02/01/2002
060;COROA ISLND/ISLAN;ISK;3794;ISLANDIA;A;
880;SHEKEL/ISRAEL;ILS;3832;ISRAEL;A;
595;LIRA ITALIANA;ITL;3867;ITALIA;A;02/01/2002
230;DOLAR/JAMAICA;JMD;3913;JAMAICA;A;
470;IENE;JPY;3999;JAPAO;A;
125;DINAR/JORDANIA;JOD;4030;JORDANIA;A;
780;QUIPE/LAOS, REP;LAK;4200;LAOS, REP.POP.DEMOCR.DO;A;
603;LOTI/LESOTO;LSL;4260;LESOTO;A;
485;LAT LETONIA REP;LVL;4278;LETONIA, REPUBLICA DA;A;31/12/2013
560;LIBRA/LIBANO;LBP;4316;LIBANO;A;
235;DOLAR LIBERIA;LRD;4340;LIBERIA;A;
130;DINAR/LIBIA;LYD;4383;LIBIA;A;
601;LITA LITUANIA;LTL;4421;LITUANIA, REPUBLICA DA;A;31/12/2014
400;FRANCO LUXEMBURGO;LUF;4456;LUXEMBURGO;A;02/01/2002
685;PATACA/MACAU;MOP;4472;MACAU;A;
132;DINAR/MACEDONIA;MKD;4499;MACEDONIA DO NORTE;A;
405;FRANCO MALGAXE MADAGA;MGF;4502;MADAGASCAR;A;14/06/2010
406;ARIARY MADAGASCAR;MGA;4502;MADAGASCAR;A;
240;DOLAR MALAIO;M$;4553;MALASIA;A;24/04/1986
828;RINGGIT/MALASIA;MYR;4553;MALASIA;A;
760;QUACHA/MALAVI;MWK;4588;MALAVI;A;
870;RUFIA/MALDIVAS;MVR;4618;MALDIVAS;A;
565;LIRA/MALTA;MTL;4677;MALTA;B;03/03/2009
139;DIRHAM/MARROCOS;MAD;4740;MARROCOS;A;
840;RUPIA/MAURICIO;MUR;4855;MAURICIO;A;
670;UGUIA MAURITANIA;MRO;4880;MAURITANIA;A;
671;UGUIA MAURITANIA;MRU;4880;MAURITANIA;A;
740;PESO MEXICANO;MEX$;4936;MEXICO;A;31/05/1993
741;PESO/MEXICO;MXN;4936;MEXICO;A;
775;QUIATE/BIRMANIA;MMK;930;MIANMAR (BIRMANIA);A;
620;METICAL MOCAMBIQ;MZM;5053;MOCAMBIQUE;A;01/07/2006
622;NOVA METICAL/MOCA;MZN;5053;MOCAMBIQUE;A;
503;LEU/MOLDAVIA, REP;MDL;4944;MOLDAVIA, REPUBLICA DA;A;
915;TUGRIK/MONGOLIA;MNT;4979;MONGOLIA;A;
173;DOLAR DA NAMIBIA;NAD;5070;NAMIBIA;A;
845;RUPIA/NEPAL;NPR;5177;NEPAL;A;
051;CORDOBA OURO;NIO;5215;NICARAGUA;A;
630;NAIRA NIGERIA;NGN;5282;NIGERIA;A;
065;COROA NORUEGUESA;NOK;5380;NORUEGA;A;
805;RIAL/OMA;OMR;5568;OMA;A;
335;FLORIM HOLANDES;NLG;5738;PAISES BAIXOS (HOLANDA);A;02/01/2002
020;BALBOA/PANAMA;PAB;5800;PANAMA;A;
778;KINA DE PAPUA NOVA GUINE;PGK;5452;PAPUA NOVA GUINE;B;
875;RUPIA/PAQUISTAO;PKR;5762;PAQUISTAO;A;
450;GUARANI/PARAGUAI;PYG;5860;PARAGUAI;A;
480;INTI PERUANO;I;5894;PERU;A;01/02/1991
660;NOVO SOL/PERU;PEN;5894;PERU;A;
890;SOL PERUANO;S/.;5894;PERU;A;26/04/1988
380;FRANCO CFP;XPF;5991;POLINESIA FRANCESA;A;
975;ZLOTY/POLONIA;PLN;6033;POLONIA, REPUBLICA DA;A;
315;ESCUDO PORTUGUES;PTE;6076;PORTUGAL;A;02/01/2002
950;XELIM/QUENIA;KES;6238;QUENIA;A;
892;SOM DO QUIRGUISTAO;KGS;6254;QUIRGUIZ, REPUBLICA;A;
730;PESO/REP. DOMINIC;DOP;6475;REPUBLICA DOMINICANA;A;
505;LEU/ROMENIA;ROL;6700;ROMENIA;A;17/12/2009
506;NOVO LEU DA ROMENIA;RON;6700;ROMENIA;A;
420;FRANCO/RUANDA;RWF;6750;RUANDA;A;
830;RUBLO/RUSSIA;RUB;6769;RUSSIA, FEDERACAO DA;A;
250;DOLAR DAS ILHAS SALOMAO;SBD;6777;SALOMAO, ILHAS;B;
910;TALA;WS$;6904;SAMOA;B;27/07/1988
911;TALA DA SAMOA OCIDENTAL;WST;6904;SAMOA;A;02/12/2014
912;TALA SAMOA;WST;6904;SAMOA;B;
570;LIBRA DE SANTA HELENA;SHP;7102;SANTA HELENA;B;
148;DOBRA S TOME PRIN;STD;7200;SAO TOME E PRINCIPE, ILHAS;A;31/12/2017
149;DOBRA SÃO TOMÉ E PRÍNCIPE;STN;7200;SAO TOME E PRINCIPE, ILHAS;A;
500;LEONE/SERRA LEOA;SLL;7358;SERRA LEOA;A;
120;DINAR IUGOSLAVO;DIN;7370;SERVIA;A;04/08/1998
133;DINAR SERVIO SERVIA;RSD;7370;SERVIA;A;
637;NOVO DINAR IUGOSLAVO;YUM;7370;SERVIA;A;27/02/2004
850;RUPIA SEYCHELES;SCR;7315;SEYCHELLES;A;
575;LIBRA/SIRIA, REP;SYP;7447;SIRIA, REPUBLICA ARABE DA;A;
960;XELIM/SOMALIA;SOS;7480;SOMALIA;A;
855;RUPIA/SRI LANKA;LKR;7501;SRI LANKA;A;
585;LILANGENI/SUAZIL;SZL;7544;SUAZILANDIA;A;
134;NOVA LIBRA SUDANESA;SDG;7595;SUDAO;A;
580;LIBRA SUDANESA;LSD;7595;SUDAO;B;21/05/1996
136;LIBRA SUL SUDANESA;SSP;7596;SUDAO DO SUL;A;
070;COROA SUECA;SEK;7641;SUECIA;A;
255;DOLAR DO SURINAME;SRD;7706;SURINAME;A;
330;FLORIM/SURINAME;SRG;7706;SURINAME;A;06/09/2005
333;DOLAR/SURINAME;SRD;7706;SURINAME;A;06/09/2005
835;SOMONI TADJIQUISTAO;TJS;7722;TADJIQUISTAO, REPUBLICA DO;A;
015;BATH/TAILANDIA;THB;7765;TAILANDIA;A;
945;XELIM TANZANIA;T SH;7803;TANZANIA, REP.UNIDA DA;A;25/11/1999
946;XELIM DA TANZANIA;TZS;7803;TANZANIA, REP.UNIDA DA;A;
075;COROA TCHECA;CZK;7919;TCHECA, REPUBLICA;A;
320;ESCUDO TIMOR LESTE;TPE;7951;TIMOR LESTE;A;01/01/2000
680;PAANGA/TONGA;TOP;8109;TONGA;B;
210;DOLAR/TRIN. TOBAG;TTD;8150;TRINIDAD E TOBAGO;A;
135;DINAR/TUNISIA;TND;8206;TUNISIA;A;
608;NOVO MANAT TURCOMANO;TMT;8249;TURCOMENISTAO, REPUBLICA DO;A;
600;LIRA TURQUIA;TRL;8273;TURQUIA;A;17/12/2009
642;LIRA TURCA;TRY;8273;TURQUIA;A;
460;HRYVNIA UCRANIA;UAH;8311;UCRANIA;A;
955;XELIM/UGANDA;UGX;8338;UGANDA;A;
745;PESO/URUGUAIO;UYU;8451;URUGUAI;A;
893;SOM UZBEQUISTAO;UZS;8478;UZBEQUISTAO, REPUBLICA DO;A;
920;VATU VANUATU;VUV;5517;VANUATU;A;
025;BOLIVAR/VENZUELA;VEB;8508;VENEZUELA;A;17/12/2009
026;BOLIVAR VENEZUELANO;VEF;8508;VENEZUELA;A;19/08/2018
027;BOLIVAR SOBERANO VENEZUELANO;VES;8508;VENEZUELA;A;
260;DONGUE/VIETNAN;VND;8583;VIETNA;A;
765;QUACHA ZAMBIA;ZMK;8907;ZAMBIA;A;31/12/2012
766;QUACHA ZAMBIA;ZMW;8907;ZAMBIA;A;
217;DOLAR ZIMBABUE;ZWL;6653;ZIMBABUE;A;30/08/2024
218;OURO DO ZIMBABWE;ZWG;6653;ZIMBABUE;A;
998;OURO;XAU;0;-;A;
994;PLATINA;PLAT;0;-;B;10/06/2002
993;PALADIO;XPD;0;-;B;10/06/2002
992;DOLAR-ROMENIA;CL$ROM.;0;-;A;04/08/1998
991;PRATA;XAG;0;-;B;10/06/2002
990;DOLAR-POLONIA;CL$POL.;0;-;A;04/08/1998
988;DOLAR-IUGOSLAVIA;CL$IUG.;0;-;-;04/08/1998
986;DOLAR-ISRAEL;CL$ISR.;0;-;-;04/08/1998
984;DOLAR-HUNGRIA;CL$HUNG;0;-;A;04/08/1998
983;DOLAR-GRECIA;CL$GREC;0;-;-;04/08/1998
982;DOLAR-BULGARIA;CL$BULG;0;-;A;04/08/1998
980;DOLAR-EX-ALEM.ORI;CL$RDA;0;-;A;04/08/1998
978;EURO;EUR;0;-;B;
918;UNID.MONET.EUROP.;XEU;0;-;B;
796;RENMINBI HONG KONG;CNH;0;-;A;
776;KARBOVANETS;UAK;0;-;A;04/08/1998
663;NOVO ZAIRE;ZRN;0;-;A;30/10/1998
651;NOVO PESO URUGUAI;NC€;0;-;A;03/06/2008
650;NOVO PESO URUGUAI;N$;0;-;A;03/06/2008
646;NOVO PESO/MEXICO;MXN;0;-;A;03/06/2008
645;NOVO PESO/MEXICO;MXN;0;-;A;08/07/2008
605;MARCO;M;0;-;A;04/08/1998
555;LIBRA ISRAELENSE;IL;0;-;A;04/08/1998
540;LIBRA ESTERLINA;GBP;0;-;B;
425;FRANCO SUICO;CHF;0;-;A;
410;FRANCO MALI;MF;0;-;A;31/07/1998
385;FRANCO/BURUNDI;BIF;0;-;A;31/07/1998
372;FRANCO CFA BCEAO;XOF;0;-;A;
370;FRANCO CFA BEAC;XAF;0;-;A;
361;FRANCO BELGA FINA;FBF;0;-;A;04/08/1998
325;GUILDER ANTILHAS HOLANDESAS;ANG;0;-;A;
245;DOLAR NOVA ZELANDIA;NZD;0;-;B;
225;DOLAR/ETIOPIA;ETB;0;-;A;04/08/1998
220;DOLAR DOS EUA;USD;0;-;A;
215;DOLAR CARIBE ORIENTAL;XCD;0;-;A;
138;DIREITO ESPECIAL;SDR;0;-;B;
110;DINAR IEMENITA;YD;0;-;B;31/07/1998
088;CUPON GEORGIANO;RUR;0;-;A;04/08/1998
050;CORDOBA/NICARAGUA;NIC;0;-;A;31/07/1998
008;BIRR;ETB;0;-;A;28/07/1998
